"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","Scenario 3: Reject invalid PNG file type","","2026-06-17","passed","2026-06-17","DemoQA File Upload Validation (POM + Helpers)","demo-test\demo.spec.js","",""
"","6453","Scenario 1: Upload valid PDF file successfully","","2026-06-17","passed","2026-06-17","DemoQA File Upload Validation (POM + Helpers)","demo-test\demo.spec.js","",""
"","10","Scenario 4: Reject file when size is greater than 2 MB","","2026-06-17","passed","2026-06-17","DemoQA File Upload Validation (POM + Helpers)","demo-test\demo.spec.js","",""
"","3","Should return 401 when token is missing and display response","","2026-06-17","passed","2026-06-17","Weather API Test Suite - Enhanced BDD > Scenario 5: JWT Authentication - Missing Token","demo-test\weather.bdd.enhanced.spec.js","",""
"","10","Should grant access with valid JWT token and display response","","2026-06-17","passed","2026-06-17","Weather API Test Suite - Enhanced BDD > Scenario 2: JWT Authentication - Valid Token","demo-test\weather.bdd.enhanced.spec.js","",""
"","2065","Should fetch and validate weather report with detailed response","","2026-06-17","passed","2026-06-17","Weather API Test Suite - Enhanced BDD > Scenario 1: Get Weather Report with Response Display","demo-test\weather.bdd.enhanced.spec.js","",""
"","7","Should reject tampered JWT token with 401 and display response","","2026-06-17","passed","2026-06-17","Weather API Test Suite - Enhanced BDD > Scenario 4: JWT Authentication - Tampered Token","demo-test\weather.bdd.enhanced.spec.js","",""
"","5978","Scenario 2: Upload valid TXT file successfully","","2026-06-17","passed","2026-06-17","DemoQA File Upload Validation (POM + Helpers)","demo-test\demo.spec.js","",""
"","26","Should reject expired JWT token with 401 and display response","","2026-06-17","passed","2026-06-17","Weather API Test Suite - Enhanced BDD > Scenario 3: JWT Authentication - Expired Token","demo-test\weather.bdd.enhanced.spec.js","",""
